,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
43676,Registered Nurse / RN - Home Care - Spanish Speaking Preferred - PRN,Almost Family,Clifton,New Jersey,"Unique Opportunity for a Registered Nurse with a Home Health Leader - Become A Senior Advocate!Patient Care Home Health is a proud member of Almost Family, a leading provider of home health nursing, rehabilitation and personal care services.  Our Senior Advocacy Mission raises the bar with programs designed to achieve better outcomes for our patients.  For over 30 years, we have developed a culture that fosters innovation, clinical excellence, and integrity.Why consider choosing a career with us?  Because we are committed to helping you achieve your goals.  As a member of our Senior Advocacy Care Team, we are confident you will achieve more for your career with industry-leading specialty programs that enhance care and promote better outcomes for patients.   Receive courses to advance your skills as a geriatric specialist.  You will also enjoy the support of a progressive group along with great benefits, competitive pay, and flexible schedule options to fit your lifestyle.  If a long tradition of world-class caring is important to you, consider joining our team.  You'll feel right at home.     As a Registered Nurse, you will:Provide a wide range of nursing care to patients in the home care setting.  Focus primarily on patient assessment, quality care, teaching of patients and caregivers, and performance of skilled procedures.  Deliver care based on Standards of Practice for the particular state of practice and must be in compliance with company policy and regulatory requirements. Qualifications:Must be a licensed Registered Nurse (RN) in the state of New Jersey.  A minimum of one year experience as a Registered Nurse is required. Previous experience in the home care setting is desired. Possess the ability to transfer, maneuver, and lift incapacitated clients in the home setting.Benefits:Almost Family offers a competitive salary and benefits package that helps safe guard your health and well- being, and provides savings options for you and your family. We offer the following benefits to full time employees:Medical, Dental and Vision Insurance  Life and Accidental Death Insurance  Voluntary Short-Term & Long-Term Disability Insurance  Flexible Spending Accounts (Medical & Dependent Care)  Paid vacation, sick days, holidays and personal time  401-k Retirement Plan If you have a passion for seniors, a special place awaits you on our Senior Advocacy Team!​​  ",Per Diem,Associate Degree
67113,Driver / CDL / Dock / Entry Level,YRC Freight,Springdale,Arkansas,"All entry-level driving positions are intended for candidates with less than one year driving experience. Qualified candidates will be eligible to participate in our Company-paid driver training program. 

Combination city driver / dock workers must be able to perform all of the duties of a city driver and a dockworker. At many locations, combination city driver / dock workers also perform the duties of road drivers and/or hostlers. 

Responsibilities:

The primary functions of a Combination City Driver / Dock Worker are:


    To operate various tractor-trailer combinations or straight trucks between Company terminals or yards and customer facilities or work sites; to sort, handle, load and/or unload freight at various Company and customer locations in a safe, efficient, and timely manner.
    To efficiently sort, handle, and load freight into and unload it from the over-the-road equipment, containers, city trailers and/or straight trucks in accordance with oral and written instructions, as well as federal and state regulations. 

",Part-Time,Not Specified
6253,Entry Level Sales / Customer Service – Part time / Full Time,Vector Marketing,Shreveport,Louisiana,"Entry Level Sales / Customer Service &ndash; Part time / Full Time
&nbsp;
Looking for a company that cares more about your attitude and willingness to learn than your previous experience? Trying to find part-time or full-time work that fits around YOUR schedule? Need to make some extra money? You might be looking for us. 
&nbsp;
We have part time and some full time sales opportunities in both temporary and permanent capacities for college students, individuals needing extra income, recent high school graduates and others. 
&nbsp;
Our sales representatives present Cutco to both new and existing customers on a low-key, one-on-one basis. We offer a minimum base pay so representatives don&rsquo;t feel pressured to make a sale - instead they focus on providing excellent service to their customers. We also provide those representatives who excel the opportunity to make more based on their results. 
&nbsp;
What we offer:
&nbsp;

    Training &ndash; both initial training to get you off to a good start and opportunities for on-going training when you need it.
    Promotion opportunities based on merit, not tenure.
    Clear-cut direction on what it takes to succeed. 
    The choice to move among several different career options &ndash; including part-time, full-time, and management.
    A flexible schedule that can work around family commitments, other jobs, internships, or school schedules.

&nbsp;
We believe our training program is so effective that anyone who wants to be successful with us can be. That&rsquo;s why, unlike a lot of companies, we don&rsquo;t think lack of experience means we shouldn&rsquo;t give people a chance. We don&rsquo;t see a recent stretch of unemployment as an indicator of a person&rsquo;s ability or desire. And we wait to make a decision until after we&rsquo;ve had a chance to meet you face-to-face.&nbsp; ",Part-Time,High School Diploma
80606,Part-Time Quality Systems Specialist,Kelly Scientific Resources,Minneapolis,Minnesota,"Part-Time Quality System Specialist – Minneapolis, MNKelly Services is currently seeking a Quality System Specialist for one of our top clients in Minneapolis, MN.  This is a 3-6 month temp-to-hire position.  This is a part-time position, 8-12 hrs a week that can be worked over 1-2 days during the week. Schedule is 1st shift, but flexible.Great opportunity for a Quality professional looking to get back into industry!As a Quality System Specialist placed with Kelly Services, you will be responsible for providing Quality related support to help develop and maintain the company Quality Management System (QMS). This role will be “hands on” and will interface primarily with Operations and Customer Service functions.  Primary responsibilities will include ensuring proper completion of Quality documentation and providing general support to ensure that key QMS processes are consistently followed. Additional Job Responsibilities:	Assists with processing and managing Document Change Orders to closure	Ensures that production records (e.g. travelers) are completed appropriately	Assists with documenting and managing NCRs and CAPAs to closure	Performs base level complaint investigations	Assists with management of Equipment Calibration and Maintenance	Coordinates training activities, including completion of training records	Assists with preparation of Quality metrics and reports	Assists with drafting Work Instructions, Procedures, Specifications	Supports Supplier Management activities (e.g. maintain ASL)	Assists with receiving incoming materials into production	May assist with verification/validation work	May assist with packaging, labeling and shipping of finished productMinimal Requirements:	BA/BS preferred; life science and/or related experience preferred	2-5 years Quality related experience in a GMP environment	Knowledge of ISO 9001 required (ISO 13485 or 21 CFR 820 preferred)	Prior experience drafting Quality documentation strongly preferred	Small company/Start up experience preferred	Strong communication skills	Displays a professional, can-do attitude, and a strong work ethic	Willing and able to prioritize and manage a variety of tasks simultaneously	Must be flexible, forward- thinking, motivated, and have the ability to act independently	Performs duties with the highest regard for safety and quality	Problem-solving skills	Basic computer skills including MS Office with proficiency in Word and Excel	Conforms to all requirements for background checks, health and safety issues, security clearances and medical checkups.	Must be able to lift up to 25lbs minimum Why Kelly?As a Kelly Services employee, you will have access to numerous perks, including:	Exposure to a variety of career opportunities as a result of our expansive network of client companies	Career guides, information and tools to help you successfully position yourself throughout every stage of your career	Access to more than 3,000 online training courses through our Kelly Learning Center	Weekly pay and service bonus plans	Group- rate insurance options available immediately upon hire* Apply Today!                                  *Available for purchase and administered by a designated third-party vendor


Why Kelly®?
 With Kelly, you’ll have access to some of the world’s highest-regarded 
scientific organizations—providing you with opportunities to work on today’s most challenging, research-intensive, and relevant projects. Our connections can lead you to innovative scientific pursuits you’ll be proud to help advance. We work with 97 of the Fortune 100™ companies, and found 
opportunities for more than 11,000 scientific professionals last year.

You pursued a career in science to fuel your quest for knowledge and your desire to make the world a better place. Let Kelly fuel your career—
connect with us today.

About 

Kelly Services®

 
Kelly Services, Inc. (Nasdaq: KELYA, KELYB) is a global leader in providing workforce solutions. Kelly® offers a comprehensive array of outsourcing and consulting services as well as world-class  staffing on a temporary, temporary-to-hire, and direct-hire basis. Serving clients around the world, Kelly 

provided employment to more than 555,000 employees in 2014.
 Revenue in 2014 was $5.6 billion. 
Visit kellyservices.com and connect with us on Facebook, LinkedIn and Twitter. Download WorkWire™, a free career and employment resource iPad® app by Kelly Services. 

iPad is a trademark of Apple Inc., registered in the U.S. and other countries. App Store is a service mark of Apple Inc.

Kelly Services is an equal opportunity employer including, but not limited to, Minorities, Females, Individuals with Disabilities, Protected Veterans and is committed to employing a diverse workforce. ",Part-Time,Bachelor's Degree
80559,Human Resources Coordinator,OfficeTeam,Saint Cloud,Minnesota,"Ref ID: 02480-9744841Classification: Personnel/Human ResourcesCompensation: $13.00 to $16.00 per hourOur client is looking for a Human Resource Assistant. This is a customer oriented position with an industry leader, and is a great opportunity for candidates to draw on their skill sets and gain desirable workplace experience. Duties will include assisting HR activities such as new hire paperwork, phone screening, reference checking, benefit administration and HR compliance with OSHA and DOT. Assist with the Wellness program coordination and documentation. Assist in expanding and documentation of the Safety Program and assist in streamlining and documenting on boarding efforts. To apply, please e-mail resume to [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
24580,Delivery Driver (Part -Time) Buckeye Road,NAPA,Phoenix,Arizona," Job Description   NAPA Auto Parts is seeking a skilled, enthusiastic and hard working part time Delivery Driver to join our growing team of auto parts professionals. As a Delivery Driver your primary focus is on getting the right parts to the right people at the right time, and engaging with customers as the face of NAPA throughout the day. Other responsibilities for the Delivery Driver will include:			Building long-term relationships with the customers you deliver to			Driving throughout the metropolitan area using maps and directions			Utilizing both manual and automatic transmission vehicles			Handling cash charge transactions correctly and core/part returns appropriately			Maintaining a distribution log or tracking system to record all deliveries/pickups made			Lifting merchandise up to 60 lbs for deliveries			Inspecting, protecting and maintaining company assets, merchandise, vehicles, building and people           Qualifications   The ideal NAPA Delivery Driver will have a passion for delivering customer care on an everyday basis, and must also have excellent driving aptitude for both manual and automatic vehicles.Other requirements for the Delivery Driver include:			Agility to bend to floor-level shelves and reach to upper shelves (eight feet) with use of stool or ladder when necessary			Stamina to stand and walk for entire work shift			Strength to lift 60 lbs of merchandise			Clear speaking and attentive listening skills			Motivated to train and learn			Flexibility in schedule including evenings, weekends and holidays			Valid driver's license with:			No DWI convictions within the past four years			No more than one moving violation AND/OR fault accident in the last three years			Minimum 18 years of age			Pre-Employment drug screen and background check    Closing Statement   In the 1920's, America fell in love with the automobile. More and more vehicles began traveling the roads, creating a need for an auto parts distribution system that could keep pace with the demand to keep our automobiles running. In 1925, NAPA was founded to meet those needs. Since then, we've sped our way to become a powerhouse in the auto parts industry. Fueled by the popularity of the automobile, our name can now be seen on over 5,800 stores, 58 distribution centers, and 13,000 NAPA AutoCare facilities across the country, and we're not stopping there.Our 80 years of experience has made us an industry leader, but don't let our age lead you to believe we can't keep up with the changing times. We're not your grandfather's NAPA. As our vehicles become more advanced, we've adapted our business in ways that allow us to stay ahead of the curve. We're constantly updating our inventory of over 500,000 parts, opening new stores, reaching out to customers in new ways, and most importantly, we're hiring new talent to join our ranks.It's an exciting time to join our team and we need people like you to help us accelerate our business into the future. Our growth depends on the dedication and enthusiasm of our employees. At NAPA, we want to continue to expand our presence, but at the heart of our business we just love automobiles. That's probably one of the reasons you're visiting this page. You share our passion to help customers, both retail and wholesale, keep their vehicles running. At NAPA, you'll be part of a team that's building on an 80-year legacy of NAPA KNOW HOW, backed by the best employees in the world.We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.  ",Part-Time,Not Specified
57952,CNA,Consulate Health Care,Altamonte Springs,Florida,"Purpose of Your Job Position
&nbsp;
As a Consulate Health Care Nurse Tech (CNA/STNA), the primary purpose of your job position is to provide each of your assigned residents with routine daily nursing care and services in accordance with the resident&rsquo;s assessment and care plan, and as may be directed by your supervisors.&nbsp;&nbsp;
Job Function
&nbsp;
As Nurse Tech (CNA/STNA), you work under the direction of licensed personnel to provide quality resident care in accordance with applicable regulations. This position has no supervisor responsibilities. You may be asked by the supervisors or mangers to perform other duties. 

Duties and Responsibilities 


    Report all complaints and grievances made by the resident.
    
    Participate in resident care assessments.
    
    Assist in development of resident treatment plans.
    
    Provide direct care in accordance with treatment plans.
    
    Accompany residents, as needed, to various activities and functions.
    
    Participate in restorative nursing program.
    
    Report occupational exposures to blood, body fluids, infectious materials, and hazardous chemicals to your supervisor.
    
    Report injuries of an unknown source, including skin tears.
    
    Turn all medications found in the resident&rsquo;s room/possession over to the Clinical Nurse.
    
    Serve between meal and bedtime snacks.
    
    Attend and participate in scheduled training and educational classes to maintain current certification as a Nursing Technician.
    
    Participate in appropriate in-service training programs prior to performing tasks that involve potential exposure to blood/body fluids.
    
    Immediately notify the Clinical Nurse of any resident leaving/missing from the facility.
    
    Clean, disinfect, and return all resident care equipment to its designated storage area after each use.
    
    Report all hazardous conditions and equipment to the Clinical Nurse immediately.
    
    Report all safety violations.
    
    Follow established procedures in the use and disposal of personal protective equipment.
    
    Wear and/or use safety equipment and supplies (e.g., back brace, mechanical lifts, etc.) when lifting or moving residents.
    
    May be trained and assigned to perform the Customer Care Liaison duties as needed. 

&nbsp;
&nbsp;
&nbsp;",Full-Time/Part-Time,High School Diploma
59904,RN/Registered Nurse Staff OR PRN - Los Robles SurgiCenter,Parallon,Thousand Oaks,California,"

 POSITION SUMMARY:



The Registered Nurse in this area assumes the responsibility of team leader utilizing the nursing process in planning, executing, and evaluating the nursing care given to the surgical patient during the intra-operative period. Applies knowledge of the principles of growth and development over the life span to identify patient and family requirements relative to age specific needs.



RESPONSIBILITIES:



Plans and delivers safe, effective intra-operative nursing care until patient is transferred from his/her care to that of the recovery R.N.  Nursing care meets current standards of the profession, the policies/procedures of the center and is appropriate to the center’s patient population.

•         Carries out all physician orders.
•         Assists with various types of procedures
•         Assist anesthesia staff as required.
•         Assesses the physical and psychological health status of patients requiring surgical intervention.
•         Applies principles of surgical asepsis.
•         Maintains attention to detail with documentation of activities during the surgical procedure regarding use of supplies, equipment, and medications.
•         Verification of surgical site; appropriateness of operative consent(s); identification of patient and allergies


Interacts with patients, fellow employees, physicians, and other customers in a manner which encourages quality patient care, harmonious working relationships, positive customer relations, and which enhances the image and reputation of the center.

•         Acts as a liaison between patient, physician, family, and other team members.
•         Teaches patients and their families/friends.
•         Assists in education and orientation of other staff members.
•         Assists with ancillary educational offerings and programs on a voluntary basis.
•         Communicates information to management.
•         Assists management in the formulation of solutions for resolving areas of concern.



Supports the center’s mission by dependability in attendance, punctuality, the timely completion of care and other assignments, resource and information management, and attention to principles of quality service.

•         Completes patient charts and narcotic records.
•         Assists with inventory control and cost containment.


Maintains and improves skills and knowledge appropriate for position, personal growth, and for enhancement of patient care.



Maintains a high degree of efficiency in the use and management of high acuity equipment for surgery.

•         Keeps the nurse manager informed of any malfunctions in instruments, equipment, or supplies.
•         Assists in maintenance and cleanliness of instruments and equipment and maintains a sanitary environment for provision of patient care.



Understands and effectively implements “Best Practices, Risk Management, and Quality Improvement Programs.


Supports and adheres to HCA Code of Conduct, related Ethics and Compliance policies and HIPAA requirements.


Education: Diploma RN required; Associates or Bachelor’s Degree preferred. 

Certifications:  RN license required. American Heart Association BLS and ACLS required upon hire.  PALS required within 6 months.

Experience:  1-3 years required, 3-5 years preferred.

",Per Diem,Bachelor's Degree
52371,Sales Supervisor,Spencer Gifts,Lombard,Illinois,"Working at Spencer&rsquo;s will be fun, challenging, fast-paced and rewarding. We are a motivated, energized and dynamic culture that is dedicated to supporting our team with the productive tools and efficient resources necessary to achieve our challenging objectives. Success will be shared by our team of results-driven and principled associates.

We offer the following benefits: 

25% discount on merchandise 
competitive salary 
career advancement 



&nbsp;

Sales Supervisor Description:


&nbsp;

    Assists the Store Manager in coordinating Store activities in order to achieve Store sales plan and profit. 
    Provides leadership and support to the Store Associates in order to ensure that all aspects of Guest service are being provided.
    Effectively merchandises, signs and prices Store in accordance with Company guidelines.
    Manages loss prevention techniques in order to reduce shrinkage.
    Assists Store Manager in completing all sales and inventory paperwork.
",Full-Time/Part-Time,High School Diploma
1815,Administrative Assistant,OfficeTeam,Boston,Massachusetts,"Ref ID: 02100-137571Classification: Secretary/Admin AsstCompensation: $12.35 to $14.30 per hourOfficeTeam of Boston is working with an international nonprofit in need of an Administrative Assistant to support the Director of Marketing with a special project. The Administrative Assistant will be tasked with editing and proofreading documents, assisting with file updates, and supporting the director with any ad hoc projects that may arise. This Administrative Assistant will be needed for at least three weeks, but there is the possibility of this project extending if it is a good fit and the project expands. If you have administrative experience, an interest in marketing, and are very detail oriented, please apply at www.OfficeTeam.com.",Seasonal/Temp,Not Specified
